subject,start_sec,end_sec,window_sec,step_sec,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_range,bvp_median,bvp_energy,original_label,label,label_purity
S2,300,360,60,30,0.06803645833333387,123.64350441831718,-471.89,597.16,1069.05,0.705,15287.720813802083,1,0,0.8908809523809523
S2,330,390,60,30,-0.020908854166666244,98.1211438779572,-392.28,554.77,947.05,3.175,9627.759313098959,1,0,1.0
S2,360,420,60,30,0.17571875000000006,44.970133207868074,-345.19,209.89,555.0799999999999,4.455,2022.3437578125,1,0,1.0
S2,390,450,60,30,-0.2819270833333332,40.34778820268652,-289.26,194.12,483.38,3.725,1628.0234957291666,1,0,1.0
S2,420,480,60,30,-0.9174947916666666,73.25475518286177,-400.17,363.29,763.46,3.1550000000000002,5367.10095359375,1,0,1.0
S2,450,510,60,30,-0.00932031250000011,92.3729390496949,-670.2,363.29,1033.49,1.92,8532.759955546875,1,0,1.0
S2,480,540,60,30,0.9167890624999998,67.50657990288555,-670.2,303.72,973.9200000000001,2.085,4557.978832369792,1,0,1.0
S2,510,570,60,30,-0.01861197916666665,25.716486981754976,-182.86,139.13,321.99,3.835,661.3380490885415,1,0,1.0
S2,540,600,60,30,-0.1345312500000001,20.520690450155588,-152.01,91.48,243.49,4.015,421.1168352083333,1,0,1.0
S2,570,630,60,30,0.14408072916666612,69.56133930177756,-596.97,368.75,965.72,3.8899999999999997,4838.800684713541,1,0,1.0
S2,600,660,60,30,-0.12666666666666782,98.0527609819354,-596.97,421.48,1018.45,5.425000000000001,9614.359980625,1,0,1.0
S2,630,690,60,30,0.07414583333333263,89.12425522391935,-449.14,421.48,870.62,6.13,7943.138366822916,1,0,1.0
S2,660,720,60,30,0.5626666666666669,82.33812224489925,-727.64,595.6,1323.24,4.34,6779.88296859375,1,0,1.0
S2,690,750,60,30,-0.22684895833333346,77.20485271657219,-727.64,595.6,1323.24,3.3449999999999998,5960.6407434375,1,0,1.0
S2,720,780,60,30,-0.3535312500000003,46.48027579745366,-335.37,351.65,687.02,4.18,2160.541022552083,1,0,1.0
S2,750,810,60,30,0.6854609374999999,70.09705464788354,-409.52,402.66,812.1800000000001,4.880000000000001,4914.066927005208,1,0,1.0
S2,780,840,60,30,0.0017708333333333807,72.22904308654161,-409.52,402.66,812.1800000000001,5.234999999999999,5217.034668333333,1,0,1.0
S2,810,870,60,30,-0.7135286458333332,31.376799859093612,-242.2,380.05,622.25,4.62,985.0126925260415,1,0,1.0
