subject,start_sec,end_sec,window_sec,step_sec,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_range,original_label,label,label_purity
S10,90,150,60,30,0.19625781250000027,67.67957209328682,-274.47,272.99,547.46,1,0,0.9523809523809523
S10,120,180,60,30,0.016989583333333304,51.87755922201068,-264.71,272.99,537.7,1,0,1.0
S10,150,210,60,30,-0.15736197916666703,50.79651688502098,-324.07,474.78,798.8499999999999,1,0,1.0
S10,180,240,60,30,-0.019799479166666845,55.60722319112419,-324.07,474.78,798.8499999999999,1,0,1.0
S10,210,270,60,30,0.04220052083333334,31.889527719182354,-228.88,192.97,421.85,1,0,1.0
S10,240,300,60,30,0.0424479166666667,27.216545355556008,-164.54,218.67,383.21,1,0,1.0
S10,270,330,60,30,0.023072916666666703,27.541728650678408,-164.54,218.67,383.21,1,0,1.0
S10,300,360,60,30,0.7066276041666666,33.18182328500909,-223.24,370.41,593.6500000000001,1,0,1.0
S10,330,390,60,30,-0.01719531250000017,35.5746247355673,-223.24,370.41,593.6500000000001,1,0,1.0
S10,360,420,60,30,-0.5836119791666668,48.32080298801677,-344.41,287.78,632.19,1,0,1.0
S10,390,450,60,30,-0.014403645833333497,60.95118684719652,-344.41,287.78,632.19,1,0,1.0
S10,420,480,60,30,0.3817682291666665,43.52391804757365,-202.55,234.94,437.49,1,0,1.0
S10,450,510,60,30,-0.00543749999999991,25.988656521208323,-164.72,227.87,392.59000000000003,1,0,1.0
S10,480,540,60,30,-0.5347109374999999,51.73194088248116,-310.99,231.55,542.54,1,0,1.0
S10,510,570,60,30,-0.051226562500000065,48.18567593316679,-310.99,231.55,542.54,1,0,1.0
S10,540,600,60,30,0.34353124999999984,35.80833452038818,-236.6,270.19,506.78999999999996,1,0,1.0
S10,570,630,60,30,0.027148437499999765,62.0578814160858,-236.6,317.07,553.67,1,0,1.0
S10,600,660,60,30,0.4423776041666665,55.936121596127755,-233.45,317.07,550.52,1,0,1.0
S10,630,690,60,30,0.14374218750000042,52.34505386665797,-282.75,348.22,630.97,1,0,1.0
S10,660,720,60,30,-0.7818151041666658,57.02935685362135,-282.75,348.22,630.97,1,0,1.0
S10,690,750,60,30,-0.33270312499999977,63.32189940211074,-284.51,281.11,565.62,1,0,1.0
S10,720,780,60,30,0.11966145833333286,62.254272047938386,-284.51,260.64,545.15,1,0,1.0
S10,750,810,60,30,0.2517135416666664,37.54125481388808,-227.12,171.74,398.86,1,0,1.0
S10,780,840,60,30,-0.12980989583333388,56.88157776651991,-315.91,325.08,640.99,1,0,1.0
