subject,start_sec,end_sec,window_sec,step_sec,emg_mean,emg_std,emg_min,emg_max,emg_range,emg_median,emg_iqr,emg_rms,emg_energy,emg_skew,emg_kurtosis,emg_abs_mean,emg_abs_std,emg_abs_median,emg_abs_max,emg_iemg,emg_mav,emg_log_detector,emg_variance,emg_waveform_length,emg_average_amplitude_change,emg_derivative_mean,emg_derivative_std,emg_derivative_max_abs,emg_zero_crossing_count,emg_zero_crossing_rate,emg_slope_sign_change_count,emg_slope_sign_change_rate,emg_willison_amplitude_count,emg_willison_amplitude_rate,emg_hjorth_activity,emg_hjorth_mobility,emg_hjorth_complexity,emg_total_power,emg_mean_frequency,emg_median_frequency,emg_bandpower_20_60,emg_bandpower_60_120,emg_bandpower_120_250,emg_relative_power_20_60,emg_relative_power_60_120,emg_relative_power_120_250,original_label,label,label_purity
S2,300,360,60,30,8.403218897810787e-07,0.01370688721576728,-0.2197196353023501,0.11989923821819934,0.3396188735205494,0.0002910857953652335,0.014697873249851365,0.013706887241525896,7.890907829780025,-0.37976997704698146,5.284320381882221,0.009986591826587121,0.009388649612220528,0.007354566292499795,0.2197196353023501,419.4368567166591,0.009986591826587121,0.00607159020752248,0.00018787875714576448,336.8643174241813,0.008020769957003293,1.0568741949507156e-08,0.010812875716518676,0.10253277907544482,11491,191.51666666666668,17295,288.25,39351,655.85,0.00018787875714576448,0.7888644260587794,1.4733373351277312,0.00019409437392775667,81.293961816347,67.333984375,8.141203000603734e-05,7.620171010817923e-05,3.598812787641083e-05,0.4194455942156236,0.3926013339085349,0.18541561585811794,1,0,0.8908809523809523
S2,330,390,60,30,-1.4837639285000737e-06,0.009063399250944409,-0.2197196353023501,0.11989923821819934,0.3396188735205494,0.00018400007582201222,0.009325221513861516,0.009063399372397482,3.4500987437101536,-0.726397916529558,21.054873364998723,0.006355813371951721,0.006461334580757659,0.004665795118525609,0.2197196353023501,266.9441616219723,0.006355813371951721,0.0038368147550226803,8.214520598201968e-05,231.98913923565647,0.005523682450431116,-1.7438782180282276e-08,0.007322519235345797,0.10253277907544482,13068,217.8,19159,319.31666666666666,39656,660.9333333333333,8.214520598201968e-05,0.8079219542913535,1.5596695934986426,7.777171818751639e-05,81.71102615321223,61.0107421875,3.820407492390664e-05,2.158951948460061e-05,1.7844266726382758e-05,0.49123352054267727,0.27760116386455347,0.22944416225134975,1,0,1.0
S2,360,420,60,30,2.32043342499015e-06,0.0068810654148297335,-0.05356229319914424,0.04375719627723401,0.09731948947637825,0.00014459472183519606,0.008201013762908405,0.0068810658060780945,1.9886607983582412,-0.16792694558998428,2.101473159242632,0.005189906091236887,0.0045181789906686325,0.00410516973325494,0.05356229319914424,217.97605583194925,0.005189906091236887,0.003286554316464862,4.73490612431659e-05,204.13082833819834,0.004860373540755693,2.0126279469463055e-08,0.006093152607843926,0.03143578268632898,13810,230.16666666666666,20228,337.1333333333333,40110,668.5,4.73490612431659e-05,0.8854955214801858,1.5344798857965083,4.493696504461863e-05,89.25339519766105,63.4033203125,2.1662086858551364e-05,1.013326802491863e-05,1.3086019841951876e-05,0.482054959364584,0.2254996085039821,0.29120835884129154,1,0,1.0
S2,390,450,60,30,-1.956818036738176e-07,0.007204294840058448,-0.05119199276198732,0.040186604633805315,0.09137859739579263,0.00017698217246003877,0.008798550952125377,0.007204294842715985,2.1798782955929337,-0.21360020824891415,1.471795682625321,0.0055051104603533,0.0046471091013761245,0.00440643412271528,0.05119199276198732,231.2146393348386,0.0055051104603533,0.003525348686435818,5.1901864142492775e-05,212.43000700459464,0.005057977737674579,-1.7098859643062716e-08,0.006344032909173555,0.029748543874595933,13373,222.88333333333333,20132,335.53333333333336,40083,668.05,5.1901864142492775e-05,0.8805904047539074,1.5416195288610792,5.135005015264167e-05,87.93555746818116,61.0107421875,2.533488045563307e-05,1.1586564784212844e-05,1.436409408961614e-05,0.4933759632234698,0.2256388211846134,0.27972892035972413,1,0,1.0
S2,420,480,60,30,1.254134131351027e-06,0.00832402107775817,-0.07114044036165076,0.06290418535600895,0.1340446257176597,0.00017381955041767712,0.00951130409490883,0.00832402117223489,2.910151795984218,-0.1729725123012702,3.408429199654612,0.006150505841058908,0.005608975519193765,0.004767193498052062,0.07114044036165076,258.32124532447415,0.006150505841058908,0.0038413586231316795,6.92893269029623e-05,229.16759030451607,0.005456501114419774,-2.8922989723127294e-08,0.007097507762995427,0.0760238235289121,12908,215.13333333333333,19816,330.26666666666665,39853,664.2166666666667,6.92893269029623e-05,0.8526537471126792,1.5553206944227451,6.433605979305709e-05,85.06144227017738,58.9599609375,3.2577996813131424e-05,1.4913819524729843e-05,1.6742302678094096e-05,0.5063722726869127,0.23181120467590846,0.260232018124008,1,0,1.0
S2,450,510,60,30,2.981595647012807e-07,0.00884602925218901,-0.07114044036165076,0.06290418535600895,0.1340446257176597,7.90315580393952e-05,0.01027520815328621,0.008846029257213813,3.2865938120182756,-0.09597709005490325,2.8537222199099963,0.006583962681463172,0.005907932720383927,0.005138214127057622,0.07114044036165076,276.52643262145324,0.006583962681463172,0.004131249007645263,7.825223353058363e-05,236.01511007961008,0.0056195411814474175,-2.9905772401388006e-08,0.007323242158407456,0.0760238235289121,12361,206.01666666666668,19567,326.1166666666667,39800,663.3333333333334,7.825223353058363e-05,0.8278564257059483,1.5852025149464088,7.977664906138373e-05,82.75316475760326,57.9345703125,4.125807808652388e-05,1.9179342757988957e-05,1.9209573950683223e-05,0.517169855740344,0.24041299031288604,0.240791938201146,1,0,1.0
S2,480,540,60,30,-6.308236513289394e-07,0.0084259316569647,-0.05187960798494555,0.08017612825781086,0.1320557362427564,1.3337276278281487e-05,0.010272959123029137,0.008425931680578615,2.981845636802692,0.0004169613078853147,1.8111407289317398,0.0064151434070559695,0.005462806948143484,0.005132112693040158,0.08017612825781086,269.4360230963507,0.0064151434070559695,0.004093778980397608,7.099632428783992e-05,227.6108670925035,0.005419435393521357,2.6086130273131052e-08,0.006872554914879135,0.0449205602077525,12242,204.03333333333333,19734,328.9,39937,665.6166666666667,7.099632428783992e-05,0.8156433252337648,1.6345910872001361,6.94033090871912e-05,79.52444438793906,52.294921875,3.922949692447233e-05,1.4483744281323032e-05,1.5590587648069774e-05,0.5652395748909956,0.2086895347183971,0.22463752597852876,1,0,1.0
S2,510,570,60,30,-1.8462257814990162e-06,0.008084828030303826,-0.05187960798494555,0.08017612825781086,0.1320557362427564,3.941544183255915e-05,0.01001250367586435,0.008084828241102966,2.745306802901715,-0.022069575237288773,1.6579038436132816,0.0062001054911024695,0.005188751255103396,0.0050074874110998925,0.08017612825781086,260.40443062630374,0.0062001054911024695,0.0039766025894857815,6.536444427958643e-05,224.5384257380759,0.005346280286151477,1.9588924704336357e-08,0.00673413364679611,0.0449205602077525,12437,207.28333333333333,20102,335.03333333333336,39991,666.5166666666667,6.536444427958643e-05,0.8329346798169365,1.631021246528927,6.502826691194334e-05,81.5261630852506,52.294921875,3.64620995743905e-05,1.2870964785486538e-05,1.5603832702327233e-05,0.5607115383186343,0.19792876846795693,0.239954614251935,1,0,1.0
S2,540,600,60,30,2.0524940515007552e-06,0.008085219241022021,-0.05392826465579621,0.046318331647831494,0.1002465963036277,6.216983706796696e-05,0.0101269967937712,0.008085219501542586,2.745572524301231,-0.08549997385320525,1.052818848275325,0.006247961629529836,0.005131642024152446,0.0050623434843865105,0.05392826465579621,262.4143884402531,0.006247961629529836,0.004038019402171633,6.53707701753927e-05,226.6888172270763,0.005397481302580449,-2.429246833869813e-08,0.006784101917458452,0.035235883136149886,12420,207.0,19937,332.28333333333336,40015,666.9166666666666,6.53707701753927e-05,0.8390745773519557,1.6106885379755262,6.492445699550805e-05,82.31762356047105,53.3203125,3.589112722443687e-05,1.2804590318679641e-05,1.6136007955541305e-05,0.5528136681515886,0.1972229096897269,0.24853512377712628,1,0,1.0
S2,570,630,60,30,-3.295052517859975e-07,0.008414107601351396,-0.05392826465579621,0.046318331647831494,0.1002465963036277,8.953960942511413e-05,0.010570031513701037,0.008414107607803282,2.973482687099109,-0.10915236112709863,0.9763401142711219,0.006508094070719169,0.00533309651163028,0.005277210704711467,0.05392826465579621,273.3399509702051,0.006508094070719169,0.004207120783957804,7.079720672711934e-05,230.92073991049222,0.0054982437655775665,-1.0267563458500763e-08,0.006924321435988291,0.035235883136149886,12060,201.0,19373,322.8833333333333,39976,666.2666666666667,7.079720672711934e-05,0.822941869067157,1.6117167243134582,6.97574638570202e-05,81.34143343149034,53.662109375,3.839738286465527e-05,1.4414149687093608e-05,1.6854750515645357e-05,0.5504412107549845,0.20663236433936108,0.2416193133137988,1,0,1.0
