left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.6933333333333334,0.5161290322580645,0.6666666666666666,0.5818181818181818,0:51; 1:24,0:44; 1:31,36,15,8,16
S11,998,71,0.9436619718309859,1.0,0.8181818181818182,0.9,0:49; 1:22,0:53; 1:18,49,0,4,18
S13,998,71,0.8169014084507042,0.6538461538461539,0.8095238095238095,0.723404255319149,0:50; 1:21,0:45; 1:26,41,9,4,17
S14,998,71,0.8873239436619719,0.7916666666666666,0.8636363636363636,0.8260869565217391,0:49; 1:22,0:47; 1:24,44,5,3,19
S15,998,71,0.676056338028169,0.4666666666666667,0.3181818181818182,0.3783783783783784,0:49; 1:22,0:56; 1:15,41,8,15,7
S16,997,72,0.9444444444444444,0.8461538461538461,1.0,0.9166666666666666,0:50; 1:22,0:46; 1:26,46,4,0,22
S17,995,74,0.9594594594594594,0.9545454545454546,0.9130434782608695,0.9333333333333333,0:51; 1:23,0:52; 1:22,50,1,2,21
S2,1002,67,0.8059701492537313,0.7142857142857143,0.5263157894736842,0.6060606060606061,0:48; 1:19,0:53; 1:14,44,4,9,10
S3,1001,68,0.7352941176470589,0.5454545454545454,0.6,0.5714285714285714,0:48; 1:20,0:46; 1:22,38,10,8,12
S4,998,71,0.8732394366197183,1.0,0.5714285714285714,0.7272727272727273,0:50; 1:21,0:59; 1:12,50,0,9,12
S5,997,72,0.7361111111111112,0.5263157894736842,0.9523809523809523,0.6779661016949152,0:51; 1:21,0:34; 1:38,33,18,1,20
S6,997,72,0.8194444444444444,0.9,0.42857142857142855,0.5806451612903226,0:51; 1:21,0:62; 1:10,50,1,12,9
S7,998,71,0.8591549295774648,0.7037037037037037,0.9047619047619048,0.7916666666666666,0:50; 1:21,0:44; 1:27,42,8,2,19
S8,998,71,0.9154929577464789,1.0,0.7142857142857143,0.8333333333333334,0:50; 1:21,0:56; 1:15,50,0,6,15
S9,997,72,0.75,0.6363636363636364,0.3333333333333333,0.4375,0:51; 1:21,0:61; 1:11,47,4,14,7
