left_out_subject,n_train_samples,n_test_samples,selected_features,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.7466666666666667,0.5641025641025641,0.9166666666666666,0.6984126984126984,0:51; 1:24,0:36; 1:39,34,17,2,22
S11,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.9577464788732394,1.0,0.8636363636363636,0.926829268292683,0:49; 1:22,0:52; 1:19,49,0,3,19
S13,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.8450704225352113,0.7272727272727273,0.7619047619047619,0.7441860465116279,0:50; 1:21,0:49; 1:22,44,6,5,16
S14,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.9295774647887324,0.9047619047619048,0.8636363636363636,0.8837209302325582,0:49; 1:22,0:50; 1:21,47,2,3,19
S15,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.7464788732394366,0.5909090909090909,0.5909090909090909,0.5909090909090909,0:49; 1:22,0:49; 1:22,40,9,9,13
S16,997,72,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.9722222222222222,0.9166666666666666,1.0,0.9565217391304348,0:50; 1:22,0:48; 1:24,48,2,0,22
S17,995,74,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.9459459459459459,0.9130434782608695,0.9130434782608695,0.9130434782608695,0:51; 1:23,0:51; 1:23,49,2,2,21
S2,1002,67,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.8656716417910447,0.8571428571428571,0.631578947368421,0.7272727272727273,0:48; 1:19,0:53; 1:14,46,2,7,12
S3,1001,68,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.7205882352941176,0.5217391304347826,0.6,0.5581395348837209,0:48; 1:20,0:45; 1:23,37,11,8,12
S4,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.8591549295774648,0.9230769230769231,0.5714285714285714,0.7058823529411765,0:50; 1:21,0:58; 1:13,49,1,9,12
S5,997,72,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.7777777777777778,0.5675675675675675,1.0,0.7241379310344828,0:51; 1:21,0:35; 1:37,35,16,0,21
S6,997,72,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.8333333333333334,0.9090909090909091,0.47619047619047616,0.625,0:51; 1:21,0:61; 1:11,50,1,11,10
S7,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.8732394366197183,0.7307692307692307,0.9047619047619048,0.8085106382978723,0:50; 1:21,0:45; 1:26,43,7,2,19
S8,998,71,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.9295774647887324,0.9444444444444444,0.8095238095238095,0.8717948717948718,0:50; 1:21,0:53; 1:18,49,1,4,17
S9,997,72,"bvp_hr_mean,bvp_ibi_mean,bvp_rmssd,bvp_hr_std,bvp_median,bvp_peak_count,bvp_ibi_std,bvp_sdnn,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_iqr,bvp_ibi_max,bvp_hr_min,bvp_skew",0.7916666666666666,0.7142857142857143,0.47619047619047616,0.5714285714285714,0:51; 1:21,0:58; 1:14,47,4,11,10
