k,weights,mean_accuracy,mean_precision,mean_recall,mean_f1,aggregate_accuracy,aggregate_precision,aggregate_recall,aggregate_f1,tn,fp,fn,tp,predicted_classes,predicts_single_class
21,distance,0.7783984836213131,0.7301392844618024,0.5024555955105153,0.5612984810053011,0.7773620205799813,0.6751054852320675,0.4984423676012461,0.5734767025089605,671,77,161,160,"0,1",False
15,distance,0.7736356030194584,0.7162745112002802,0.5015221849089125,0.5569483538941576,0.7726847521047708,0.6611570247933884,0.4984423676012461,0.5683836589698046,666,82,161,160,"0,1",False
11,distance,0.7651662538028019,0.6773015873015873,0.5061679396118755,0.5523642458777426,0.764265668849392,0.6352941176470588,0.5046728971962616,0.5625,655,93,159,162,"0,1",False
3,distance,0.7539714466844145,0.6452257285873337,0.5295015866411747,0.5605106130809455,0.7530402245088869,0.6014234875444839,0.5264797507788161,0.5614617940199336,636,112,152,169,"0,1",False
21,uniform,0.7736752641300738,0.7327165466987355,0.4865681496230695,0.5463334970645107,0.7726847521047708,0.6681034482758621,0.48286604361370716,0.5605786618444847,671,77,166,155,"0,1",False
3,uniform,0.7530324795482642,0.6441364039685974,0.5264712836108718,0.5582029207732532,0.7521047708138447,0.6,0.5233644859813084,0.5590682196339434,636,112,153,168,"0,1",False
7,distance,0.7569517467856757,0.6549608379115793,0.5169474740870622,0.5570470491472779,0.7558465855940131,0.6111111111111112,0.514018691588785,0.5583756345177665,643,105,156,165,"0,1",False
15,uniform,0.7669870447429957,0.6855875949529201,0.49552423548991054,0.5462294330796174,0.7661365762394762,0.6448979591836734,0.49221183800623053,0.558303886925795,661,87,163,158,"0,1",False
5,distance,0.754153894276871,0.6548550463480993,0.5203203331120952,0.557348878820129,0.7530402245088869,0.6036363636363636,0.5171339563862928,0.5570469798657718,639,109,155,166,"0,1",False
9,distance,0.7595939789348513,0.6666689887172407,0.49996491558276457,0.5463790954763804,0.7586529466791394,0.622568093385214,0.4984423676012461,0.5536332179930796,651,97,161,160,"0,1",False
9,uniform,0.7586964368194136,0.6690631934285186,0.49404860966645864,0.5409187615419795,0.7577174929840973,0.6220472440944882,0.49221183800623053,0.5495652173913044,652,96,163,158,"0,1",False
11,uniform,0.7586169173662404,0.6689204066033334,0.4908284380252343,0.5385445185793307,0.7577174929840973,0.623015873015873,0.48909657320872274,0.5479930191972077,653,95,164,157,"0,1",False
7,uniform,0.752282993525373,0.6449356483894858,0.5017959589355471,0.5438670463427565,0.7511693171188026,0.6037735849056604,0.4984423676012461,0.5460750853242321,643,105,161,160,"0,1",False
5,uniform,0.7475788229337798,0.6358522717965442,0.5113737241654862,0.5452578684049401,0.7464920486435921,0.5905797101449275,0.5077881619937694,0.5460636515912898,635,113,158,163,"0,1",False
1,uniform,0.7341997030355857,0.6093481765052974,0.5098444563318706,0.5317409510895567,0.7333956969130028,0.5620689655172414,0.5077881619937694,0.5335515548281505,621,127,158,163,"0,1",False
1,distance,0.7341997030355857,0.6093481765052974,0.5098444563318706,0.5317409510895567,0.7333956969130028,0.5620689655172414,0.5077881619937694,0.5335515548281505,621,127,158,163,"0,1",False
