feature,mean_importance,std_importance
ecg_kurtosis_baseline_zscore,0.18110218781857482,0.01377686087309543
ecg_energy_baseline_zscore,0.17054727642612333,0.01222327040553844
ecg_rmssd_baseline_zscore,0.15496643539751392,0.01449427789097984
ecg_pnn50_baseline_zscore,0.0823975862415194,0.01076632359109853
ecg_rr_mean_baseline_zscore,0.0671996929245126,0.007428783708144828
ecg_r_peak_rate_per_min_baseline_zscore,0.06138818245582712,0.006876976846408428
ecg_hr_mean_baseline_zscore,0.05903749633342823,0.005755258473605144
ecg_cvnn_baseline_zscore,0.056978091146313595,0.0065001181226841676
ecg_hr_range_baseline_zscore,0.04806170801233151,0.004361106256235711
ecg_hr_std_baseline_zscore,0.0462844398765002,0.005409669392443035
ecg_sdnn_baseline_zscore,0.03649324999191439,0.0054106213218960645
ecg_rr_std_baseline_zscore,0.03554365337544094,0.004025090917147095
