feature_set,left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
baseline_zscore_12,S10,994,75,0.7466666666666667,0.8571428571428571,0.25,0.3870967741935484,0:51; 1:24,0:68; 1:7,50,1,18,6
baseline_zscore_12,S11,998,71,1.0,1.0,1.0,1.0,0:49; 1:22,0:49; 1:22,49,0,0,22
baseline_zscore_12,S13,998,71,0.8450704225352113,1.0,0.47619047619047616,0.6451612903225806,0:50; 1:21,0:61; 1:10,50,0,11,10
baseline_zscore_12,S14,998,71,0.8732394366197183,0.7096774193548387,1.0,0.8301886792452831,0:49; 1:22,0:40; 1:31,40,9,0,22
baseline_zscore_12,S15,998,71,0.7323943661971831,0.6666666666666666,0.2727272727272727,0.3870967741935484,0:49; 1:22,0:62; 1:9,46,3,16,6
baseline_zscore_12,S16,997,72,0.8472222222222222,0.6666666666666666,1.0,0.8,0:50; 1:22,0:39; 1:33,39,11,0,22
baseline_zscore_12,S17,995,74,0.972972972972973,0.92,1.0,0.9583333333333334,0:51; 1:23,0:49; 1:25,49,2,0,23
baseline_zscore_12,S2,1002,67,0.6119402985074627,0.29411764705882354,0.2631578947368421,0.2777777777777778,0:48; 1:19,0:50; 1:17,36,12,14,5
baseline_zscore_12,S3,1001,68,0.8529411764705882,0.8125,0.65,0.7222222222222222,0:48; 1:20,0:52; 1:16,45,3,7,13
baseline_zscore_12,S4,998,71,0.9577464788732394,0.95,0.9047619047619048,0.926829268292683,0:50; 1:21,0:51; 1:20,49,1,2,19
baseline_zscore_12,S5,997,72,1.0,1.0,1.0,1.0,0:51; 1:21,0:51; 1:21,51,0,0,21
baseline_zscore_12,S6,997,72,0.9861111111111112,1.0,0.9523809523809523,0.975609756097561,0:51; 1:21,0:52; 1:20,51,0,1,20
baseline_zscore_12,S7,998,71,0.7746478873239436,1.0,0.23809523809523808,0.38461538461538464,0:50; 1:21,0:66; 1:5,50,0,16,5
baseline_zscore_12,S8,998,71,1.0,1.0,1.0,1.0,0:50; 1:21,0:50; 1:21,50,0,0,21
baseline_zscore_12,S9,997,72,0.75,0.6666666666666666,0.2857142857142857,0.4,0:51; 1:21,0:63; 1:9,48,3,15,6
