feature,mean_importance,std_importance
ecg_kurtosis,0.08254601235314224,0.010490881315328928
ecg_median,0.07747843374625997,0.007572743006150452
ecg_rmssd,0.07489913138917499,0.009891052192554707
ecg_pnn50,0.06215310216346825,0.011953183110872468
ecg_energy,0.06086342575141297,0.00806927600577145
ecg_skew,0.05755500960275975,0.00894174203699137
ecg_rms,0.05728453528477666,0.007401191187836346
ecg_std,0.04764833608124113,0.007272479242105052
ecg_iqr,0.03935140158727816,0.006961655408640184
ecg_r_peak_prominence_std,0.03168302963648402,0.0032215010065654685
ecg_nn50_count,0.028325868127817642,0.0048133199975448
ecg_rr_mean,0.02828529840016173,0.004383848055833974
ecg_derivative_std,0.02805733572101988,0.003218600198117334
ecg_r_peak_prominence_mean,0.027430671578069814,0.0036219787668651518
ecg_hr_mean,0.026564726740380618,0.0035506026742240593
ecg_r_peak_rate_per_min,0.02537592927505168,0.0030659522610429935
ecg_valid_rr_count,0.02299212834547019,0.0030369988963359286
ecg_r_peak_count,0.022832592841066004,0.0037257810902580862
ecg_hr_max,0.017052814639778337,0.003400017228169796
ecg_range,0.017036440295549248,0.0022776117834227916
ecg_rr_min,0.016870764549625317,0.0033912812600612693
ecg_max,0.0166678414442776,0.0018588955770346902
ecg_rr_std,0.016476719731274552,0.002823902123812725
ecg_hr_std,0.015821877712483317,0.001836523628247207
ecg_derivative_max_abs,0.015485529551967145,0.0019408650124010376
ecg_min,0.015124212513366176,0.0014993284490161642
ecg_sdnn,0.014216138458042312,0.0017975562104694835
ecg_cvnn,0.013707024829340901,0.0016651257806279591
ecg_hr_min,0.012779857155694572,0.002356645707208602
ecg_rr_max,0.010743530791556983,0.001340690580102612
ecg_hr_range,0.00855314677299117,0.001114538924407493
ecg_mean,0.004311194696871785,0.0005345330734276865
ecg_derivative_mean,0.0038259382321448663,0.0004395157636479852
