left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.38666666666666666,0.34285714285714286,1.0,0.5106382978723404,0:51; 1:24,0:5; 1:70,5,46,0,24
S11,998,71,0.39436619718309857,0.3384615384615385,1.0,0.5057471264367817,0:49; 1:22,0:6; 1:65,6,43,0,22
S13,998,71,0.8450704225352113,1.0,0.47619047619047616,0.6451612903225806,0:50; 1:21,0:61; 1:10,50,0,11,10
S14,998,71,0.8169014084507042,0.6285714285714286,1.0,0.7719298245614035,0:49; 1:22,0:36; 1:35,36,13,0,22
S15,998,71,0.5211267605633803,0.2857142857142857,0.36363636363636365,0.32,0:49; 1:22,0:43; 1:28,29,20,14,8
S16,997,72,0.7638888888888888,0.5641025641025641,1.0,0.7213114754098361,0:50; 1:22,0:33; 1:39,33,17,0,22
S17,995,74,1.0,1.0,1.0,1.0,0:51; 1:23,0:51; 1:23,51,0,0,23
S2,1002,67,0.7313432835820896,1.0,0.05263157894736842,0.1,0:48; 1:19,0:66; 1:1,48,0,18,1
S3,1001,68,0.8970588235294118,1.0,0.65,0.7878787878787878,0:48; 1:20,0:55; 1:13,48,0,7,13
S4,998,71,0.704225352112676,0.0,0.0,0.0,0:50; 1:21,0:71,50,0,21,0
S5,997,72,0.8472222222222222,1.0,0.47619047619047616,0.6451612903225806,0:51; 1:21,0:62; 1:10,51,0,11,10
S6,997,72,0.7083333333333334,0.0,0.0,0.0,0:51; 1:21,0:72,51,0,21,0
S7,998,71,0.9014084507042254,1.0,0.6666666666666666,0.8,0:50; 1:21,0:57; 1:14,50,0,7,14
S8,998,71,1.0,1.0,1.0,1.0,0:50; 1:21,0:50; 1:21,50,0,0,21
S9,997,72,0.7222222222222222,0.5384615384615384,0.3333333333333333,0.4117647058823529,0:51; 1:21,0:59; 1:13,45,6,14,7
