feature_set,left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,tn,fp,fn,tp
reduced_plus_delta_zscore_36,S10,994,75,0.96,1.0,0.875,0.9333333333333333,51,0,3,21
reduced_plus_delta_zscore_36,S11,998,71,0.9436619718309859,1.0,0.8181818181818182,0.9,49,0,4,18
reduced_plus_delta_zscore_36,S13,998,71,0.8732394366197183,0.7,1.0,0.8235294117647058,41,9,0,21
reduced_plus_delta_zscore_36,S14,998,71,0.704225352112676,1.0,0.045454545454545456,0.08695652173913043,49,0,21,1
reduced_plus_delta_zscore_36,S15,998,71,0.9295774647887324,0.8695652173913043,0.9090909090909091,0.8888888888888888,46,3,2,20
reduced_plus_delta_zscore_36,S16,997,72,0.9722222222222222,0.9166666666666666,1.0,0.9565217391304348,48,2,0,22
reduced_plus_delta_zscore_36,S17,995,74,0.7162162162162162,0.6666666666666666,0.17391304347826086,0.27586206896551724,49,2,19,4
reduced_plus_delta_zscore_36,S2,1002,67,0.8507462686567164,0.9090909090909091,0.5263157894736842,0.6666666666666666,47,1,9,10
reduced_plus_delta_zscore_36,S3,1001,68,0.8088235294117647,0.8181818181818182,0.45,0.5806451612903226,46,2,11,9
reduced_plus_delta_zscore_36,S4,998,71,0.971830985915493,0.9130434782608695,1.0,0.9545454545454546,48,2,0,21
reduced_plus_delta_zscore_36,S5,997,72,0.9027777777777778,0.85,0.8095238095238095,0.8292682926829268,48,3,4,17
reduced_plus_delta_zscore_36,S6,997,72,0.9027777777777778,0.7692307692307693,0.9523809523809523,0.851063829787234,45,6,1,20
reduced_plus_delta_zscore_36,S7,998,71,1.0,1.0,1.0,1.0,50,0,0,21
reduced_plus_delta_zscore_36,S8,998,71,0.9577464788732394,1.0,0.8571428571428571,0.9230769230769231,50,0,3,18
reduced_plus_delta_zscore_36,S9,997,72,0.9305555555555556,0.9,0.8571428571428571,0.8780487804878049,49,2,3,18
