left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.9333333333333333,1.0,0.7916666666666666,0.8837209302325582,0:51; 1:24,0:56; 1:19,51,0,5,19
S11,998,71,0.7887323943661971,0.6,0.9545454545454546,0.7368421052631579,0:49; 1:22,0:36; 1:35,35,14,1,21
S13,998,71,0.8028169014084507,0.6,1.0,0.75,0:50; 1:21,0:36; 1:35,36,14,0,21
S14,998,71,0.704225352112676,1.0,0.045454545454545456,0.08695652173913043,0:49; 1:22,0:70; 1:1,49,0,21,1
S15,998,71,0.9295774647887324,0.9047619047619048,0.8636363636363636,0.8837209302325582,0:49; 1:22,0:50; 1:21,47,2,3,19
S16,997,72,0.9166666666666666,1.0,0.7272727272727273,0.8421052631578947,0:50; 1:22,0:56; 1:16,50,0,6,16
S17,995,74,0.7432432432432432,0.6666666666666666,0.34782608695652173,0.45714285714285713,0:51; 1:23,0:62; 1:12,47,4,15,8
S2,1002,67,0.9253731343283582,0.9375,0.7894736842105263,0.8571428571428571,0:48; 1:19,0:51; 1:16,47,1,4,15
S3,1001,68,0.7941176470588235,0.625,0.75,0.6818181818181818,0:48; 1:20,0:44; 1:24,39,9,5,15
S4,998,71,0.9577464788732394,1.0,0.8571428571428571,0.9230769230769231,0:50; 1:21,0:53; 1:18,50,0,3,18
S5,997,72,0.8194444444444444,0.6428571428571429,0.8571428571428571,0.7346938775510204,0:51; 1:21,0:44; 1:28,41,10,3,18
S6,997,72,0.7222222222222222,0.5217391304347826,0.5714285714285714,0.5454545454545454,0:51; 1:21,0:49; 1:23,40,11,9,12
S7,998,71,0.9014084507042254,0.8888888888888888,0.7619047619047619,0.8205128205128205,0:50; 1:21,0:53; 1:18,48,2,5,16
S8,998,71,0.9436619718309859,1.0,0.8095238095238095,0.8947368421052632,0:50; 1:21,0:54; 1:17,50,0,4,17
S9,997,72,0.9583333333333334,0.875,1.0,0.9333333333333333,0:51; 1:21,0:48; 1:24,48,3,0,21
