left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.8533333333333334,0.8421052631578947,0.6666666666666666,0.7441860465116279,0:51; 1:24,0:56; 1:19,48,3,8,16
S11,998,71,0.8028169014084507,0.6176470588235294,0.9545454545454546,0.75,0:49; 1:22,0:37; 1:34,36,13,1,21
S13,998,71,0.8450704225352113,0.65625,1.0,0.7924528301886793,0:50; 1:21,0:39; 1:32,39,11,0,21
S14,998,71,0.704225352112676,1.0,0.045454545454545456,0.08695652173913043,0:49; 1:22,0:70; 1:1,49,0,21,1
S15,998,71,0.9014084507042254,0.8571428571428571,0.8181818181818182,0.8372093023255814,0:49; 1:22,0:50; 1:21,46,3,4,18
S16,997,72,0.9166666666666666,0.9444444444444444,0.7727272727272727,0.85,0:50; 1:22,0:54; 1:18,49,1,5,17
S17,995,74,0.7432432432432432,0.7,0.30434782608695654,0.42424242424242425,0:51; 1:23,0:64; 1:10,48,3,16,7
S2,1002,67,0.8955223880597015,0.8333333333333334,0.7894736842105263,0.8108108108108109,0:48; 1:19,0:49; 1:18,45,3,4,15
S3,1001,68,0.8235294117647058,0.6818181818181818,0.75,0.7142857142857143,0:48; 1:20,0:46; 1:22,41,7,5,15
S4,998,71,0.9295774647887324,1.0,0.7619047619047619,0.8648648648648649,0:50; 1:21,0:55; 1:16,50,0,5,16
S5,997,72,0.9027777777777778,0.7692307692307693,0.9523809523809523,0.851063829787234,0:51; 1:21,0:46; 1:26,45,6,1,20
S6,997,72,0.7777777777777778,0.6086956521739131,0.6666666666666666,0.6363636363636364,0:51; 1:21,0:49; 1:23,42,9,7,14
S7,998,71,0.9154929577464789,0.7777777777777778,1.0,0.875,0:50; 1:21,0:44; 1:27,44,6,0,21
S8,998,71,0.9436619718309859,1.0,0.8095238095238095,0.8947368421052632,0:50; 1:21,0:54; 1:17,50,0,4,17
S9,997,72,0.9444444444444444,0.8695652173913043,0.9523809523809523,0.9090909090909091,0:51; 1:21,0:49; 1:23,48,3,1,20
