feature,mean_importance,std_importance,selected_count,used_by_model,selected_rate
eda_mean_baseline_zscore,0.10777747491354273,0.026961726128501975,15,True,1.0
eda_phasic_auc_baseline_delta,0.09614133278612168,0.009715568000412794,15,True,1.0
eda_phasic_auc_baseline_zscore,0.09374122808495043,0.009646062794816668,15,True,1.0
eda_scr_count_baseline_delta,0.08166340944128588,0.011996092357479695,15,True,1.0
eda_range_baseline_delta,0.0646355811365555,0.011294998810192365,15,True,1.0
eda_scr_count_baseline_zscore,0.06272137712796447,0.01009672345170402,15,True,1.0
eda_mean_baseline_delta,0.05210767882717186,0.01534084165355879,15,True,1.0
eda_phasic_std_baseline_delta,0.047033071303659704,0.006500901076091154,15,True,1.0
eda_std_baseline_delta,0.03987492497131498,0.007565072008655199,15,True,1.0
eda_phasic_std_baseline_zscore,0.02995323063532483,0.007031746340859281,15,True,1.0
eda_mean,0.027025729653982193,0.0030285181955561347,15,True,1.0
eda_range_baseline_zscore,0.022218420045183894,0.003313772179671772,14,True,0.9333333333333333
eda_derivative_mean,0.01975315848270058,0.00203017577913608,14,True,0.9333333333333333
eda_scr_amplitude_max_baseline_delta,0.022108749230933138,0.004408702254720689,13,True,0.8666666666666667
eda_slope,0.018184912667703786,0.00203291112986041,7,True,0.4666666666666667
eda_scr_amplitude_std_baseline_zscore,0.01830570635753882,0.0025859722687950034,6,False,0.4
eda_std_baseline_zscore,0.01612913142105148,0.0022210426528787635,4,False,0.26666666666666666
eda_tonic_std_baseline_delta,0.013714319102033983,0.002370338196479865,1,False,0.06666666666666667
eda_scr_amplitude_std_baseline_delta,0.012302825545643107,0.002666831117039959,1,False,0.06666666666666667
eda_tonic_std_baseline_zscore,0.014421245301830692,0.002136773930799859,0,False,0.0
eda_phasic_auc,0.013440324991762835,0.00236780886638383,0,False,0.0
eda_scr_amplitude_max_baseline_zscore,0.012244238104343974,0.0014852342327960066,0,False,0.0
eda_std,0.011187836623683669,0.001506540381492546,0,False,0.0
eda_tonic_std,0.01007490298211238,0.001091576976664925,0,False,0.0
eda_derivative_max,0.009257568441434216,0.0009701759068542905,0,False,0.0
eda_range,0.009035116598782119,0.0007352586038575089,0,False,0.0
eda_scr_prominence_mean_baseline_zscore,0.008922553233743703,0.0011295034291036645,0,False,0.0
eda_derivative_std,0.008567055423149322,0.0009513387733431465,0,False,0.0
eda_skew,0.008423474189507323,0.0013908495689361282,0,False,0.0
eda_phasic_std,0.007978679340546708,0.0012188332660774581,0,False,0.0
eda_scr_prominence_mean_baseline_delta,0.007642493747073988,0.0010582335831617953,0,False,0.0
eda_scr_count,0.007594815065677736,0.001225552415584509,0,False,0.0
eda_kurtosis,0.007065336425860152,0.00046104462071493613,0,False,0.0
eda_scr_amplitude_max,0.006747859526190188,0.0009761879201897601,0,False,0.0
eda_scr_prominence_mean,0.006168123024031718,0.0008326702297350649,0,False,0.0
eda_scr_amplitude_std,0.005836115245606229,0.0008753347446419831,0,False,0.0
