left_out_subject,n_train_samples,n_test_samples,selected_features,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.9866666666666667,0.96,1.0,0.9795918367346939,0:51; 1:24,0:50; 1:25,50,1,0,24
S11,998,71,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.8873239436619719,0.7916666666666666,0.8636363636363636,0.8260869565217391,0:49; 1:22,0:47; 1:24,44,5,3,19
S13,998,71,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.9154929577464789,0.7777777777777778,1.0,0.875,0:50; 1:21,0:44; 1:27,44,6,0,21
S14,998,71,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.6901408450704225,0.0,0.0,0.0,0:49; 1:22,0:71,49,0,22,0
S15,998,71,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.9577464788732394,0.9130434782608695,0.9545454545454546,0.9333333333333333,0:49; 1:22,0:48; 1:23,47,2,1,21
S16,997,72,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.9861111111111112,0.9565217391304348,1.0,0.9777777777777777,0:50; 1:22,0:49; 1:23,49,1,0,22
S17,995,74,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.7837837837837838,1.0,0.30434782608695654,0.4666666666666667,0:51; 1:23,0:67; 1:7,51,0,16,7
S2,1002,67,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.8507462686567164,1.0,0.47368421052631576,0.6428571428571429,0:48; 1:19,0:58; 1:9,48,0,10,9
S3,1001,68,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.8235294117647058,0.9,0.45,0.6,0:48; 1:20,0:58; 1:10,47,1,11,9
S4,998,71,"eda_mean_baseline_zscore,eda_phasic_auc_baseline_delta,eda_phasic_auc_baseline_zscore,eda_scr_count_baseline_delta,eda_range_baseline_delta,eda_scr_count_baseline_zscore,eda_mean_baseline_delta,eda_phasic_std_baseline_delta,eda_std_baseline_delta,eda_phasic_std_baseline_zscore,eda_mean,eda_range_baseline_zscore,eda_derivative_mean,eda_scr_amplitude_max_baseline_delta,eda_slope",0.9859154929577465,0.9545454545454546,1.0,0.9767441860465116,0:50; 1:21,0:49; 1:22,49,1,0,21
