left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.68,0.0,0.0,0.0,0:51; 1:24,0:75,51,0,24,0
S11,998,71,0.9295774647887324,0.9473684210526315,0.8181818181818182,0.8780487804878049,0:49; 1:22,0:52; 1:19,48,1,4,18
S13,998,71,0.7746478873239436,0.5925925925925926,0.7619047619047619,0.6666666666666666,0:50; 1:21,0:44; 1:27,39,11,5,16
S14,998,71,0.7605633802816901,0.6190476190476191,0.5909090909090909,0.6046511627906976,0:49; 1:22,0:50; 1:21,41,8,9,13
S15,998,71,0.7746478873239436,0.75,0.4090909090909091,0.5294117647058824,0:49; 1:22,0:59; 1:12,46,3,13,9
S16,997,72,0.3472222222222222,0.31343283582089554,0.9545454545454546,0.47191011235955055,0:50; 1:22,0:5; 1:67,4,46,1,21
S17,995,74,0.7432432432432432,0.8333333333333334,0.21739130434782608,0.3448275862068966,0:51; 1:23,0:68; 1:6,50,1,18,5
S2,1002,67,0.7014925373134329,0.0,0.0,0.0,0:48; 1:19,0:66; 1:1,47,1,19,0
S3,1001,68,0.7352941176470589,0.6,0.3,0.4,0:48; 1:20,0:58; 1:10,44,4,14,6
S4,998,71,0.7183098591549296,0.5217391304347826,0.5714285714285714,0.5454545454545454,0:50; 1:21,0:48; 1:23,39,11,9,12
S5,997,72,0.6527777777777778,0.0,0.0,0.0,0:51; 1:21,0:68; 1:4,47,4,21,0
S6,997,72,0.7083333333333334,0.0,0.0,0.0,0:51; 1:21,0:72,51,0,21,0
S7,998,71,0.323943661971831,0.2127659574468085,0.47619047619047616,0.29411764705882354,0:50; 1:21,0:24; 1:47,13,37,11,10
S8,998,71,0.8169014084507042,0.6538461538461539,0.8095238095238095,0.723404255319149,0:50; 1:21,0:45; 1:26,41,9,4,17
S9,997,72,0.4444444444444444,0.3137254901960784,0.7619047619047619,0.4444444444444444,0:51; 1:21,0:21; 1:51,16,35,5,16
