feature,mean_importance,std_importance
emg_bandpower_120_250,0.10256021159931951,0.008194133358825134
emg_median,0.09572790431376141,0.005773556533786678
emg_bandpower_20_60,0.09485242928822275,0.007321431509036931
emg_relative_power_60_120,0.09102955785117668,0.0058383656119914825
emg_skew,0.08059619192546015,0.00437984492187123
emg_relative_power_120_250,0.05980086624550464,0.006221291801246678
emg_relative_power_20_60,0.05710601973249862,0.0022652311608032842
emg_hjorth_complexity,0.05593683134789761,0.0032108227060842934
emg_slope_sign_change_count,0.054994466432304955,0.00375200619226447
emg_zero_crossing_rate,0.05391334222694408,0.003723518072538274
emg_slope_sign_change_rate,0.05365104786960474,0.0037001860133153304
emg_zero_crossing_count,0.05334609585383754,0.0033677128441484774
emg_median_frequency,0.05011001500484655,0.0031079431626894914
emg_hjorth_mobility,0.04933685029339974,0.0042297691447357975
emg_mean_frequency,0.047038170015221065,0.003627390658309183
