left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.6666666666666666,0.3333333333333333,0.041666666666666664,0.07407407407407407,0:51; 1:24,0:72; 1:3,49,2,23,1
S11,998,71,0.8873239436619719,0.7916666666666666,0.8636363636363636,0.8260869565217391,0:49; 1:22,0:47; 1:24,44,5,3,19
S13,998,71,0.7464788732394366,0.5555555555555556,0.7142857142857143,0.625,0:50; 1:21,0:44; 1:27,38,12,6,15
S14,998,71,0.7887323943661971,0.6666666666666666,0.6363636363636364,0.6511627906976745,0:49; 1:22,0:50; 1:21,42,7,8,14
S15,998,71,0.8450704225352113,1.0,0.5,0.6666666666666666,0:49; 1:22,0:60; 1:11,49,0,11,11
S16,997,72,0.3194444444444444,0.30434782608695654,0.9545454545454546,0.46153846153846156,0:50; 1:22,0:3; 1:69,2,48,1,21
S17,995,74,0.8108108108108109,1.0,0.391304347826087,0.5625,0:51; 1:23,0:65; 1:9,51,0,14,9
S2,1002,67,0.7313432835820896,0.6666666666666666,0.10526315789473684,0.18181818181818182,0:48; 1:19,0:64; 1:3,47,1,17,2
S3,1001,68,0.7647058823529411,0.75,0.3,0.42857142857142855,0:48; 1:20,0:60; 1:8,46,2,14,6
S4,998,71,0.8309859154929577,0.6451612903225806,0.9523809523809523,0.7692307692307693,0:50; 1:21,0:40; 1:31,39,11,1,20
S5,997,72,0.6388888888888888,0.0,0.0,0.0,0:51; 1:21,0:67; 1:5,46,5,21,0
S6,997,72,0.8055555555555556,1.0,0.3333333333333333,0.5,0:51; 1:21,0:65; 1:7,51,0,14,7
S7,998,71,0.2676056338028169,0.1836734693877551,0.42857142857142855,0.2571428571428571,0:50; 1:21,0:22; 1:49,10,40,12,9
S8,998,71,0.7887323943661971,0.625,0.7142857142857143,0.6666666666666666,0:50; 1:21,0:47; 1:24,41,9,6,15
S9,997,72,0.5833333333333334,0.38461538461538464,0.7142857142857143,0.5,0:51; 1:21,0:33; 1:39,27,24,6,15
