feature,mean_importance,std_importance
resp_bandpower_0_75_2_00,0.16859201300157223,0.007801828377196126
resp_relative_power_0_75_2_00,0.12333432786881343,0.014790067094508417
resp_interval_cv,0.10054699506239442,0.009383038193186055
resp_second_derivative_std,0.09843585097955303,0.011617111781185649
resp_breath_rate_std,0.07226893883258745,0.008489868143545755
resp_interval_rmssd,0.06596532858612496,0.0057279598362084475
resp_interval_sdnn,0.043197798980881955,0.0023806328699080143
resp_breath_rate_range,0.04152554348117347,0.0032922480903902615
resp_skew,0.033118979385121164,0.0057003916404124565
resp_peak_prominence_std,0.028374399229058433,0.0030275524771803874
resp_bandpower_0_40_0_75,0.02643867415559743,0.003950397152786855
resp_median,0.021699612653141034,0.002575223455559933
resp_trough_prominence_std,0.0178980924088973,0.0023446286399094805
resp_derivative_max_abs,0.016240089676286398,0.0013562261998106594
resp_kurtosis,0.015163934591407517,0.0016888813938258568
resp_cycle_amplitude_std,0.01512445373272668,0.0027133074327060996
resp_iqr,0.012995456041805683,0.0016876201483619461
resp_derivative_std,0.012881551346790645,0.0013192914862093972
resp_std,0.012868416755740929,0.001100599602960254
resp_cycle_amplitude_mean,0.011854875442215607,0.0013672630153412327
resp_breath_rate_mean,0.011747526981159988,0.0011680817250461412
resp_mean_frequency_hz,0.011588084888601328,0.0010380390366151642
resp_range,0.009741971387001343,0.0011913425901795317
resp_bandpower_0_15_0_40,0.00902550429988336,0.0007355392262576934
resp_mean,0.006568251926132747,0.0007327965909430074
resp_trough_rate_per_min,0.006067112007780556,0.0009446091835037706
resp_peak_rate_per_min,0.005834696517704398,0.0006007313155524765
resp_dominant_rate_bpm,0.000901519779846558,0.00023932813796504553
