left_out_subject,n_train_samples,n_test_samples,accuracy,precision,recall,f1,true_class_counts,predicted_class_counts,tn,fp,fn,tp
S10,994,75,0.96,1.0,0.875,0.9333333333333333,0:51; 1:24,0:54; 1:21,51,0,3,21
S11,998,71,0.9295774647887324,0.9047619047619048,0.8636363636363636,0.8837209302325582,0:49; 1:22,0:50; 1:21,47,2,3,19
S13,998,71,0.7464788732394366,0.5384615384615384,1.0,0.7,0:50; 1:21,0:32; 1:39,32,18,0,21
S14,998,71,0.8309859154929577,0.6666666666666666,0.9090909090909091,0.7692307692307693,0:49; 1:22,0:41; 1:30,39,10,2,20
S15,998,71,0.9154929577464789,0.9,0.8181818181818182,0.8571428571428571,0:49; 1:22,0:51; 1:20,47,2,4,18
S16,997,72,0.9027777777777778,0.8947368421052632,0.7727272727272727,0.8292682926829268,0:50; 1:22,0:53; 1:19,48,2,5,17
S17,995,74,0.9594594594594594,0.9166666666666666,0.9565217391304348,0.9361702127659575,0:51; 1:23,0:50; 1:24,49,2,1,22
S2,1002,67,0.9552238805970149,0.9,0.9473684210526315,0.9230769230769231,0:48; 1:19,0:47; 1:20,46,2,1,18
S3,1001,68,0.9852941176470589,1.0,0.95,0.9743589743589743,0:48; 1:20,0:49; 1:19,48,0,1,19
S4,998,71,0.8309859154929577,0.8461538461538461,0.5238095238095238,0.6470588235294118,0:50; 1:21,0:58; 1:13,48,2,10,11
S5,997,72,0.9861111111111112,1.0,0.9523809523809523,0.975609756097561,0:51; 1:21,0:52; 1:20,51,0,1,20
S6,997,72,0.7638888888888888,0.75,0.2857142857142857,0.41379310344827586,0:51; 1:21,0:64; 1:8,49,2,15,6
S7,998,71,0.971830985915493,0.9130434782608695,1.0,0.9545454545454546,0:50; 1:21,0:48; 1:23,48,2,0,21
S8,998,71,0.9014084507042254,0.85,0.8095238095238095,0.8292682926829268,0:50; 1:21,0:51; 1:20,47,3,4,17
S9,997,72,0.8888888888888888,0.9333333333333333,0.6666666666666666,0.7777777777777778,0:51; 1:21,0:57; 1:15,50,1,7,14
